Régions métropolitaines,Aire (km²),lat,lon,Centre (« de gravité sur l'ellipsoïde »)
Alsace Champagne-Ardenne Lorraine,"57,715",5°37'10" E,48°41'21",Void (Meuse)
Aquitaine Limousin Poitou-Charentes,"84,825",0°11'52" E,45°11'32",Saint-Vincent-Jalmoutiers (Dordogne)
Auvergne Rhône-Alpes,"70,901",4°32'17" E,45°30'57",Cellieu (Loire)
Bourgogne Franche-Comté,"48,058",4°48'33" E,47°14'07",Gergeuil (Côte-d'Or)
Bretagne,"27,460",2°50'19" O,48°10'47",Saint-Caradec (Côtes d'Armor)
Centre-Val de Loire,"39,531",1°41'07" E,47°28'50",Vernou-en-Sologne (Loir-et-Cher)
Île-de-France,12068,2°30'17" E,48°42'33",Brunoy (Essonne)
Languedoc-Roussillon Midi-Pyrénées,"73,368",2°08'14" E,43°42'08",Lautrec (Tarn)
Nord-Pas-de-Calais Picardie,"31,948",2°46'31" E,49°57'58","confins Éclusier-Vaux, Suzanne, Maricourt (Somme)"
Normandie,"30,113",0°06'24" E,49°07'16",La Houblonnière (Calvados)
Pays de la Loire,"32,376",0°49'26" O,47°28'29","limite Saint-Augustin-des-Bois, Bécon-les-Granits (Maine-et-Loire)"
Provence-Alpes-Côte d'Azur,"31,843",6°03'12" E,43°57'18",Entrevennes (Alpes-de-Haute-Provence)
